"Year","Academic Discipline, Broad (standardized)","Level of Degree or Other Award","Highest Degree (standardized)","Degrees/Awards Conferred (NCES population of institutions)(Sum)"
1966,"Engineering","Doctorate Degrees","Doctorate-granting Institutions",2334
1966,"Engineering","Bachelor's Degrees","Doctorate-granting Institutions",29872
1966,"Engineering","Bachelor's Degrees","First Professional Institutions",210
1966,"Engineering","Bachelor's Degrees","Master's-granting Institutions",4238
1966,"Engineering","Bachelor's Degrees","Bachelor's-granting Institutions",1434
1966,"Engineering","Bachelor's Degrees","Other/Unknown Degree Level",72
1966,"Physical Sciences","Doctorate Degrees","Doctorate-granting Institutions",2641
1966,"Physical Sciences","Bachelor's Degrees","Doctorate-granting Institutions",8689
1966,"Physical Sciences","Bachelor's Degrees","First Professional Institutions",515
1966,"Physical Sciences","Bachelor's Degrees","Master's-granting Institutions",4320
1966,"Physical Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",1875
1966,"Physical Sciences","Bachelor's Degrees","Two-year Institutions",2
1966,"Physical Sciences","Bachelor's Degrees","Other/Unknown Degree Level",61
1966,"Geosciences","Doctorate Degrees","Doctorate-granting Institutions",374
1966,"Geosciences","Bachelor's Degrees","Doctorate-granting Institutions",1243
1966,"Geosciences","Bachelor's Degrees","First Professional Institutions",24
1966,"Geosciences","Bachelor's Degrees","Master's-granting Institutions",350
1966,"Geosciences","Bachelor's Degrees","Bachelor's-granting Institutions",93
1966,"Geosciences","Bachelor's Degrees","Other/Unknown Degree Level",2
1966,"Math and Computer Sciences","Doctorate Degrees","Doctorate-granting Institutions",801
1966,"Math and Computer Sciences","Bachelor's Degrees","Doctorate-granting Institutions",10568
1966,"Math and Computer Sciences","Bachelor's Degrees","First Professional Institutions",577
1966,"Math and Computer Sciences","Bachelor's Degrees","Master's-granting Institutions",6621
1966,"Math and Computer Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",2297
1966,"Math and Computer Sciences","Bachelor's Degrees","Two-year Institutions",7
1966,"Math and Computer Sciences","Bachelor's Degrees","Other/Unknown Degree Level",109
1966,"Life Sciences","Doctorate Degrees","Doctorate-granting Institutions",2929
1966,"Life Sciences","Doctorate Degrees","First Professional Institutions",2
1966,"Life Sciences","Bachelor's Degrees","Doctorate-granting Institutions",31815
1966,"Life Sciences","Bachelor's Degrees","First Professional Institutions",1621
1966,"Life Sciences","Bachelor's Degrees","Master's-granting Institutions",9818
1966,"Life Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",4573
1966,"Life Sciences","Bachelor's Degrees","Two-year Institutions",12
1966,"Life Sciences","Bachelor's Degrees","Other/Unknown Degree Level",338
1966,"Psychology","Doctorate Degrees","Doctorate-granting Institutions",1033
1966,"Psychology","Doctorate Degrees","Master's-granting Institutions",4
1966,"Psychology","Bachelor's Degrees","Doctorate-granting Institutions",10060
1966,"Psychology","Bachelor's Degrees","First Professional Institutions",508
1966,"Psychology","Bachelor's Degrees","Master's-granting Institutions",4308
1966,"Psychology","Bachelor's Degrees","Bachelor's-granting Institutions",1950
1966,"Psychology","Bachelor's Degrees","Two-year Institutions",22
1966,"Psychology","Bachelor's Degrees","Other/Unknown Degree Level",118
1966,"Social Sciences","Doctorate Degrees","Doctorate-granting Institutions",1622
1966,"Social Sciences","Bachelor's Degrees","Doctorate-granting Institutions",37757
1966,"Social Sciences","Bachelor's Degrees","First Professional Institutions",1920
1966,"Social Sciences","Bachelor's Degrees","Master's-granting Institutions",16982
1966,"Social Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",7222
1966,"Social Sciences","Bachelor's Degrees","Two-year Institutions",8
1966,"Social Sciences","Bachelor's Degrees","Other/Unknown Degree Level",475
1966,"Science and Engineering Technologies","Doctorate Degrees","Doctorate-granting Institutions",11
1966,"Science and Engineering Technologies","Bachelor's Degrees","Doctorate-granting Institutions",1863
1966,"Science and Engineering Technologies","Bachelor's Degrees","First Professional Institutions",53
1966,"Science and Engineering Technologies","Bachelor's Degrees","Master's-granting Institutions",699
1966,"Science and Engineering Technologies","Bachelor's Degrees","Bachelor's-granting Institutions",34
1966,"Science and Engineering Technologies","Bachelor's Degrees","Other/Unknown Degree Level",20
1966,"Interdisciplinary or Other Sciences","Doctorate Degrees","Doctorate-granting Institutions",12
1966,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Doctorate-granting Institutions",2993
1966,"Interdisciplinary or Other Sciences","Bachelor's Degrees","First Professional Institutions",38
1966,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Master's-granting Institutions",2309
1966,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",2028
1966,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Other/Unknown Degree Level",10
1966,"Humanities","Doctorate Degrees","Doctorate-granting Institutions",2035
1966,"Humanities","Doctorate Degrees","Master's-granting Institutions",4
1966,"Humanities","Doctorate Degrees","Other/Unknown Degree Level",1
1966,"Humanities","Bachelor's Degrees","Doctorate-granting Institutions",47076
1966,"Humanities","Bachelor's Degrees","First Professional Institutions",2984
1966,"Humanities","Bachelor's Degrees","Master's-granting Institutions",25667
1966,"Humanities","Bachelor's Degrees","Bachelor's-granting Institutions",12632
1966,"Humanities","Bachelor's Degrees","Two-year Institutions",73
1966,"Humanities","Bachelor's Degrees","Other/Unknown Degree Level",1161
1966,"Religion and Theology","Doctorate Degrees","Doctorate-granting Institutions",153
1966,"Religion and Theology","Doctorate Degrees","Master's-granting Institutions",20
1966,"Religion and Theology","Doctorate Degrees","Bachelor's-granting Institutions",3
1966,"Religion and Theology","Bachelor's Degrees","Doctorate-granting Institutions",162
1966,"Religion and Theology","Bachelor's Degrees","First Professional Institutions",92
1966,"Religion and Theology","Bachelor's Degrees","Master's-granting Institutions",103
1966,"Religion and Theology","Bachelor's Degrees","Bachelor's-granting Institutions",94
1966,"Religion and Theology","Bachelor's Degrees","Two-year Institutions",6
1966,"Religion and Theology","Bachelor's Degrees","Other/Unknown Degree Level",21
1966,"Arts and Music","Doctorate Degrees","Doctorate-granting Institutions",476
1966,"Arts and Music","Bachelor's Degrees","Doctorate-granting Institutions",10722
1966,"Arts and Music","Bachelor's Degrees","First Professional Institutions",431
1966,"Arts and Music","Bachelor's Degrees","Master's-granting Institutions",5638
1966,"Arts and Music","Bachelor's Degrees","Bachelor's-granting Institutions",1712
1966,"Arts and Music","Bachelor's Degrees","Two-year Institutions",9
1966,"Arts and Music","Bachelor's Degrees","Other/Unknown Degree Level",147
1966,"Architecture and Environmental Design","Doctorate Degrees","Doctorate-granting Institutions",12
1966,"Architecture and Environmental Design","Bachelor's Degrees","Doctorate-granting Institutions",2257
1966,"Architecture and Environmental Design","Bachelor's Degrees","First Professional Institutions",15
1966,"Architecture and Environmental Design","Bachelor's Degrees","Master's-granting Institutions",190
1966,"Architecture and Environmental Design","Bachelor's Degrees","Bachelor's-granting Institutions",3
1966,"Architecture and Environmental Design","Bachelor's Degrees","Other/Unknown Degree Level",6
1966,"Education","Doctorate Degrees","Doctorate-granting Institutions",3106
1966,"Education","Doctorate Degrees","Master's-granting Institutions",4
1966,"Education","Bachelor's Degrees","Doctorate-granting Institutions",53114
1966,"Education","Bachelor's Degrees","First Professional Institutions",3191
1966,"Education","Bachelor's Degrees","Master's-granting Institutions",50004
1966,"Education","Bachelor's Degrees","Bachelor's-granting Institutions",11929
1966,"Education","Bachelor's Degrees","Two-year Institutions",95
1966,"Education","Bachelor's Degrees","Other/Unknown Degree Level",1718
1966,"Business and Management","Doctorate Degrees","Doctorate-granting Institutions",407
1966,"Business and Management","Bachelor's Degrees","Doctorate-granting Institutions",41460
1966,"Business and Management","Bachelor's Degrees","First Professional Institutions",2303
1966,"Business and Management","Bachelor's Degrees","Master's-granting Institutions",17210
1966,"Business and Management","Bachelor's Degrees","Bachelor's-granting Institutions",3667
1966,"Business and Management","Bachelor's Degrees","Two-year Institutions",92
1966,"Business and Management","Bachelor's Degrees","Other/Unknown Degree Level",532
1966,"Communication and Librarianship","Doctorate Degrees","Doctorate-granting Institutions",34
1966,"Communication and Librarianship","Bachelor's Degrees","Doctorate-granting Institutions",3063
1966,"Communication and Librarianship","Bachelor's Degrees","First Professional Institutions",44
1966,"Communication and Librarianship","Bachelor's Degrees","Master's-granting Institutions",594
1966,"Communication and Librarianship","Bachelor's Degrees","Bachelor's-granting Institutions",45
1966,"Law","Doctorate Degrees","Doctorate-granting Institutions",23
1966,"Law","Doctorate Degrees","First Professional Institutions",6
1966,"Law","Bachelor's Degrees","Doctorate-granting Institutions",203
1966,"Law","Bachelor's Degrees","Master's-granting Institutions",39
1966,"Law","Bachelor's Degrees","Bachelor's-granting Institutions",3
1966,"Social Service Professions","Doctorate Degrees","Doctorate-granting Institutions",64
1966,"Social Service Professions","Bachelor's Degrees","Doctorate-granting Institutions",1246
1966,"Social Service Professions","Bachelor's Degrees","First Professional Institutions",20
1966,"Social Service Professions","Bachelor's Degrees","Master's-granting Institutions",320
1966,"Social Service Professions","Bachelor's Degrees","Bachelor's-granting Institutions",78
1966,"Vocational Studies and Home Economics","Doctorate Degrees","Doctorate-granting Institutions",54
1966,"Vocational Studies and Home Economics","Bachelor's Degrees","Doctorate-granting Institutions",4187
1966,"Vocational Studies and Home Economics","Bachelor's Degrees","First Professional Institutions",68
1966,"Vocational Studies and Home Economics","Bachelor's Degrees","Master's-granting Institutions",1178
1966,"Vocational Studies and Home Economics","Bachelor's Degrees","Bachelor's-granting Institutions",238
1966,"Vocational Studies and Home Economics","Bachelor's Degrees","Other/Unknown Degree Level",53
1966,"Other Non-sciences or Unknown Disciplines","Doctorate Degrees","Doctorate-granting Institutions",74
1966,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","Doctorate-granting Institutions",2269
1966,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","First Professional Institutions",70
1966,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","Master's-granting Institutions",724
1966,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","Bachelor's-granting Institutions",216
1966,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","Other/Unknown Degree Level",101
1967,"Engineering","Doctorate Degrees","Doctorate-granting Institutions",2661
1967,"Engineering","Bachelor's Degrees","Doctorate-granting Institutions",30050
1967,"Engineering","Bachelor's Degrees","First Professional Institutions",197
1967,"Engineering","Bachelor's Degrees","Master's-granting Institutions",4329
1967,"Engineering","Bachelor's Degrees","Bachelor's-granting Institutions",1534
1967,"Engineering","Bachelor's Degrees","Other/Unknown Degree Level",87
1967,"Physical Sciences","Doctorate Degrees","Doctorate-granting Institutions",3037
1967,"Physical Sciences","Bachelor's Degrees","Doctorate-granting Institutions",9013
1967,"Physical Sciences","Bachelor's Degrees","First Professional Institutions",524
1967,"Physical Sciences","Bachelor's Degrees","Master's-granting Institutions",4143
1967,"Physical Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",2097
1967,"Physical Sciences","Bachelor's Degrees","Two-year Institutions",3
1967,"Physical Sciences","Bachelor's Degrees","Other/Unknown Degree Level",67
1967,"Geosciences","Doctorate Degrees","Doctorate-granting Institutions",378
1967,"Geosciences","Bachelor's Degrees","Doctorate-granting Institutions",1383
1967,"Geosciences","Bachelor's Degrees","First Professional Institutions",38
1967,"Geosciences","Bachelor's Degrees","Master's-granting Institutions",408
1967,"Geosciences","Bachelor's Degrees","Bachelor's-granting Institutions",104
1967,"Geosciences","Bachelor's Degrees","Other/Unknown Degree Level",3
1967,"Math and Computer Sciences","Doctorate Degrees","Doctorate-granting Institutions",870
1967,"Math and Computer Sciences","Bachelor's Degrees","Doctorate-granting Institutions",11347
1967,"Math and Computer Sciences","Bachelor's Degrees","First Professional Institutions",649
1967,"Math and Computer Sciences","Bachelor's Degrees","Master's-granting Institutions",7068
1967,"Math and Computer Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",2344
1967,"Math and Computer Sciences","Bachelor's Degrees","Two-year Institutions",4
1967,"Math and Computer Sciences","Bachelor's Degrees","Other/Unknown Degree Level",118
1967,"Life Sciences","Doctorate Degrees","Doctorate-granting Institutions",3138
1967,"Life Sciences","Doctorate Degrees","Master's-granting Institutions",2
1967,"Life Sciences","Bachelor's Degrees","Doctorate-granting Institutions",34259
1967,"Life Sciences","Bachelor's Degrees","First Professional Institutions",1664
1967,"Life Sciences","Bachelor's Degrees","Master's-granting Institutions",10744
1967,"Life Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",4791
1967,"Life Sciences","Bachelor's Degrees","Two-year Institutions",10
1967,"Life Sciences","Bachelor's Degrees","Other/Unknown Degree Level",289
1967,"Psychology","Doctorate Degrees","Doctorate-granting Institutions",1187
1967,"Psychology","Doctorate Degrees","Master's-granting Institutions",3
1967,"Psychology","Bachelor's Degrees","Doctorate-granting Institutions",11496
1967,"Psychology","Bachelor's Degrees","First Professional Institutions",639
1967,"Psychology","Bachelor's Degrees","Master's-granting Institutions",4955
1967,"Psychology","Bachelor's Degrees","Bachelor's-granting Institutions",2177
1967,"Psychology","Bachelor's Degrees","Two-year Institutions",14
1967,"Psychology","Bachelor's Degrees","Other/Unknown Degree Level",154
1967,"Social Sciences","Doctorate Degrees","Doctorate-granting Institutions",1920
1967,"Social Sciences","Bachelor's Degrees","Doctorate-granting Institutions",42257
1967,"Social Sciences","Bachelor's Degrees","First Professional Institutions",2106
1967,"Social Sciences","Bachelor's Degrees","Master's-granting Institutions",19473
1967,"Social Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",7956
1967,"Social Sciences","Bachelor's Degrees","Two-year Institutions",3
1967,"Social Sciences","Bachelor's Degrees","Other/Unknown Degree Level",603
1967,"Science and Engineering Technologies","Doctorate Degrees","Doctorate-granting Institutions",5
1967,"Science and Engineering Technologies","Bachelor's Degrees","Doctorate-granting Institutions",1955
1967,"Science and Engineering Technologies","Bachelor's Degrees","First Professional Institutions",152
1967,"Science and Engineering Technologies","Bachelor's Degrees","Master's-granting Institutions",889
1967,"Science and Engineering Technologies","Bachelor's Degrees","Bachelor's-granting Institutions",65
1967,"Science and Engineering Technologies","Bachelor's Degrees","Other/Unknown Degree Level",9
1967,"Interdisciplinary or Other Sciences","Doctorate Degrees","Doctorate-granting Institutions",13
1967,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Doctorate-granting Institutions",3424
1967,"Interdisciplinary or Other Sciences","Bachelor's Degrees","First Professional Institutions",32
1967,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Master's-granting Institutions",2116
1967,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",1975
1967,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Other/Unknown Degree Level",18
1967,"Humanities","Doctorate Degrees","Doctorate-granting Institutions",2372
1967,"Humanities","Doctorate Degrees","Master's-granting Institutions",2
1967,"Humanities","Doctorate Degrees","Other/Unknown Degree Level",6
1967,"Humanities","Bachelor's Degrees","Doctorate-granting Institutions",51505
1967,"Humanities","Bachelor's Degrees","First Professional Institutions",3293
1967,"Humanities","Bachelor's Degrees","Master's-granting Institutions",28525
1967,"Humanities","Bachelor's Degrees","Bachelor's-granting Institutions",13260
1967,"Humanities","Bachelor's Degrees","Two-year Institutions",57
1967,"Humanities","Bachelor's Degrees","Other/Unknown Degree Level",1154
1967,"Religion and Theology","Doctorate Degrees","Doctorate-granting Institutions",149
1967,"Religion and Theology","Doctorate Degrees","Bachelor's-granting Institutions",3
1967,"Religion and Theology","Doctorate Degrees","Other/Unknown Degree Level",1
1967,"Religion and Theology","Bachelor's Degrees","Doctorate-granting Institutions",111
1967,"Religion and Theology","Bachelor's Degrees","First Professional Institutions",47
1967,"Religion and Theology","Bachelor's Degrees","Master's-granting Institutions",73
1967,"Religion and Theology","Bachelor's Degrees","Bachelor's-granting Institutions",106
1967,"Religion and Theology","Bachelor's Degrees","Two-year Institutions",7
1967,"Religion and Theology","Bachelor's Degrees","Other/Unknown Degree Level",17
1967,"Arts and Music","Doctorate Degrees","Doctorate-granting Institutions",501
1967,"Arts and Music","Doctorate Degrees","Master's-granting Institutions",3
1967,"Arts and Music","Bachelor's Degrees","Doctorate-granting Institutions",12233
1967,"Arts and Music","Bachelor's Degrees","First Professional Institutions",400
1967,"Arts and Music","Bachelor's Degrees","Master's-granting Institutions",6744
1967,"Arts and Music","Bachelor's Degrees","Bachelor's-granting Institutions",2046
1967,"Arts and Music","Bachelor's Degrees","Two-year Institutions",4
1967,"Arts and Music","Bachelor's Degrees","Other/Unknown Degree Level",126
1967,"Architecture and Environmental Design","Doctorate Degrees","Doctorate-granting Institutions",18
1967,"Architecture and Environmental Design","Bachelor's Degrees","Doctorate-granting Institutions",2496
1967,"Architecture and Environmental Design","Bachelor's Degrees","First Professional Institutions",6
1967,"Architecture and Environmental Design","Bachelor's Degrees","Master's-granting Institutions",274
1967,"Architecture and Environmental Design","Bachelor's Degrees","Bachelor's-granting Institutions",28
1967,"Education","Doctorate Degrees","Doctorate-granting Institutions",3609
1967,"Education","Doctorate Degrees","Master's-granting Institutions",2
1967,"Education","Bachelor's Degrees","Doctorate-granting Institutions",54405
1967,"Education","Bachelor's Degrees","First Professional Institutions",3703
1967,"Education","Bachelor's Degrees","Master's-granting Institutions",50962
1967,"Education","Bachelor's Degrees","Bachelor's-granting Institutions",11766
1967,"Education","Bachelor's Degrees","Two-year Institutions",34
1967,"Education","Bachelor's Degrees","Other/Unknown Degree Level",1516
1967,"Business and Management","Doctorate Degrees","Doctorate-granting Institutions",457
1967,"Business and Management","Bachelor's Degrees","Doctorate-granting Institutions",45410
1967,"Business and Management","Bachelor's Degrees","First Professional Institutions",2461
1967,"Business and Management","Bachelor's Degrees","Master's-granting Institutions",18816
1967,"Business and Management","Bachelor's Degrees","Bachelor's-granting Institutions",4115
1967,"Business and Management","Bachelor's Degrees","Two-year Institutions",121
1967,"Business and Management","Bachelor's Degrees","Other/Unknown Degree Level",595
1967,"Communication and Librarianship","Doctorate Degrees","Doctorate-granting Institutions",39
1967,"Communication and Librarianship","Bachelor's Degrees","Doctorate-granting Institutions",3503
1967,"Communication and Librarianship","Bachelor's Degrees","First Professional Institutions",54
1967,"Communication and Librarianship","Bachelor's Degrees","Master's-granting Institutions",632
1967,"Communication and Librarianship","Bachelor's Degrees","Bachelor's-granting Institutions",31
1967,"Law","Doctorate Degrees","Doctorate-granting Institutions",24
1967,"Law","Doctorate Degrees","First Professional Institutions",3
1967,"Law","Bachelor's Degrees","Doctorate-granting Institutions",214
1967,"Law","Bachelor's Degrees","First Professional Institutions",140
1967,"Law","Bachelor's Degrees","Master's-granting Institutions",139
1967,"Social Service Professions","Doctorate Degrees","Doctorate-granting Institutions",64
1967,"Social Service Professions","Bachelor's Degrees","Doctorate-granting Institutions",1350
1967,"Social Service Professions","Bachelor's Degrees","First Professional Institutions",39
1967,"Social Service Professions","Bachelor's Degrees","Master's-granting Institutions",386
1967,"Social Service Professions","Bachelor's Degrees","Bachelor's-granting Institutions",97
1967,"Social Service Professions","Bachelor's Degrees","Other/Unknown Degree Level",9
1967,"Vocational Studies and Home Economics","Doctorate Degrees","Doctorate-granting Institutions",66
1967,"Vocational Studies and Home Economics","Bachelor's Degrees","Doctorate-granting Institutions",4502
1967,"Vocational Studies and Home Economics","Bachelor's Degrees","First Professional Institutions",125
1967,"Vocational Studies and Home Economics","Bachelor's Degrees","Master's-granting Institutions",1323
1967,"Vocational Studies and Home Economics","Bachelor's Degrees","Bachelor's-granting Institutions",339
1967,"Vocational Studies and Home Economics","Bachelor's Degrees","Other/Unknown Degree Level",46
1967,"Other Non-sciences or Unknown Disciplines","Doctorate Degrees","Doctorate-granting Institutions",88
1967,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","Doctorate-granting Institutions",2135
1967,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","First Professional Institutions",48
1967,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","Master's-granting Institutions",803
1967,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","Bachelor's-granting Institutions",237
1967,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","Two-year Institutions",10
1967,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","Other/Unknown Degree Level",56
1968,"Engineering","Doctorate Degrees","Doctorate-granting Institutions",2952
1968,"Engineering","Bachelor's Degrees","Doctorate-granting Institutions",31444
1968,"Engineering","Bachelor's Degrees","First Professional Institutions",187
1968,"Engineering","Bachelor's Degrees","Master's-granting Institutions",4709
1968,"Engineering","Bachelor's Degrees","Bachelor's-granting Institutions",1305
1968,"Engineering","Bachelor's Degrees","Other/Unknown Degree Level",35
1968,"Physical Sciences","Doctorate Degrees","Doctorate-granting Institutions",3172
1968,"Physical Sciences","Bachelor's Degrees","Doctorate-granting Institutions",9719
1968,"Physical Sciences","Bachelor's Degrees","First Professional Institutions",543
1968,"Physical Sciences","Bachelor's Degrees","Master's-granting Institutions",4643
1968,"Physical Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",2070
1968,"Physical Sciences","Bachelor's Degrees","Two-year Institutions",1
1968,"Physical Sciences","Bachelor's Degrees","Other/Unknown Degree Level",61
1968,"Geosciences","Doctorate Degrees","Doctorate-granting Institutions",401
1968,"Geosciences","Bachelor's Degrees","Doctorate-granting Institutions",1572
1968,"Geosciences","Bachelor's Degrees","First Professional Institutions",51
1968,"Geosciences","Bachelor's Degrees","Master's-granting Institutions",569
1968,"Geosciences","Bachelor's Degrees","Bachelor's-granting Institutions",147
1968,"Math and Computer Sciences","Doctorate Degrees","Doctorate-granting Institutions",983
1968,"Math and Computer Sciences","Bachelor's Degrees","Doctorate-granting Institutions",12492
1968,"Math and Computer Sciences","Bachelor's Degrees","First Professional Institutions",617
1968,"Math and Computer Sciences","Bachelor's Degrees","Master's-granting Institutions",8238
1968,"Math and Computer Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",2612
1968,"Math and Computer Sciences","Bachelor's Degrees","Two-year Institutions",4
1968,"Math and Computer Sciences","Bachelor's Degrees","Other/Unknown Degree Level",121
1968,"Life Sciences","Doctorate Degrees","Doctorate-granting Institutions",3676
1968,"Life Sciences","Bachelor's Degrees","Doctorate-granting Institutions",37318
1968,"Life Sciences","Bachelor's Degrees","First Professional Institutions",1743
1968,"Life Sciences","Bachelor's Degrees","Master's-granting Institutions",12105
1968,"Life Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",5267
1968,"Life Sciences","Bachelor's Degrees","Two-year Institutions",13
1968,"Life Sciences","Bachelor's Degrees","Other/Unknown Degree Level",319
1968,"Psychology","Doctorate Degrees","Doctorate-granting Institutions",1231
1968,"Psychology","Doctorate Degrees","Master's-granting Institutions",1
1968,"Psychology","Bachelor's Degrees","Doctorate-granting Institutions",14136
1968,"Psychology","Bachelor's Degrees","First Professional Institutions",727
1968,"Psychology","Bachelor's Degrees","Master's-granting Institutions",6030
1968,"Psychology","Bachelor's Degrees","Bachelor's-granting Institutions",2809
1968,"Psychology","Bachelor's Degrees","Two-year Institutions",16
1968,"Psychology","Bachelor's Degrees","Other/Unknown Degree Level",203
1968,"Social Sciences","Doctorate Degrees","Doctorate-granting Institutions",2234
1968,"Social Sciences","Bachelor's Degrees","Doctorate-granting Institutions",48927
1968,"Social Sciences","Bachelor's Degrees","First Professional Institutions",2501
1968,"Social Sciences","Bachelor's Degrees","Master's-granting Institutions",23357
1968,"Social Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",9783
1968,"Social Sciences","Bachelor's Degrees","Two-year Institutions",5
1968,"Social Sciences","Bachelor's Degrees","Other/Unknown Degree Level",822
1968,"Science and Engineering Technologies","Doctorate Degrees","Doctorate-granting Institutions",1
1968,"Science and Engineering Technologies","Bachelor's Degrees","Doctorate-granting Institutions",2284
1968,"Science and Engineering Technologies","Bachelor's Degrees","First Professional Institutions",53
1968,"Science and Engineering Technologies","Bachelor's Degrees","Master's-granting Institutions",1171
1968,"Science and Engineering Technologies","Bachelor's Degrees","Bachelor's-granting Institutions",74
1968,"Interdisciplinary or Other Sciences","Doctorate Degrees","Doctorate-granting Institutions",18
1968,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Doctorate-granting Institutions",3408
1968,"Interdisciplinary or Other Sciences","Bachelor's Degrees","First Professional Institutions",69
1968,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Master's-granting Institutions",2059
1968,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",2101
1968,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Other/Unknown Degree Level",44
1968,"Humanities","Doctorate Degrees","Doctorate-granting Institutions",2757
1968,"Humanities","Doctorate Degrees","Master's-granting Institutions",4
1968,"Humanities","Doctorate Degrees","Other/Unknown Degree Level",2
1968,"Humanities","Bachelor's Degrees","Doctorate-granting Institutions",57095
1968,"Humanities","Bachelor's Degrees","First Professional Institutions",3452
1968,"Humanities","Bachelor's Degrees","Master's-granting Institutions",33437
1968,"Humanities","Bachelor's Degrees","Bachelor's-granting Institutions",14770
1968,"Humanities","Bachelor's Degrees","Two-year Institutions",71
1968,"Humanities","Bachelor's Degrees","Other/Unknown Degree Level",1232
1968,"Religion and Theology","Doctorate Degrees","Doctorate-granting Institutions",156
1968,"Religion and Theology","Doctorate Degrees","Bachelor's-granting Institutions",2
1968,"Religion and Theology","Bachelor's Degrees","Doctorate-granting Institutions",129
1968,"Religion and Theology","Bachelor's Degrees","First Professional Institutions",90
1968,"Religion and Theology","Bachelor's Degrees","Master's-granting Institutions",106
1968,"Religion and Theology","Bachelor's Degrees","Bachelor's-granting Institutions",131
1968,"Religion and Theology","Bachelor's Degrees","Two-year Institutions",1
1968,"Religion and Theology","Bachelor's Degrees","Other/Unknown Degree Level",10
1968,"Arts and Music","Doctorate Degrees","Doctorate-granting Institutions",528
1968,"Arts and Music","Bachelor's Degrees","Doctorate-granting Institutions",14438
1968,"Arts and Music","Bachelor's Degrees","First Professional Institutions",604
1968,"Arts and Music","Bachelor's Degrees","Master's-granting Institutions",8009
1968,"Arts and Music","Bachelor's Degrees","Bachelor's-granting Institutions",2300
1968,"Arts and Music","Bachelor's Degrees","Two-year Institutions",19
1968,"Arts and Music","Bachelor's Degrees","Other/Unknown Degree Level",185
1968,"Architecture and Environmental Design","Doctorate Degrees","Doctorate-granting Institutions",15
1968,"Architecture and Environmental Design","Bachelor's Degrees","Doctorate-granting Institutions",2721
1968,"Architecture and Environmental Design","Bachelor's Degrees","First Professional Institutions",11
1968,"Architecture and Environmental Design","Bachelor's Degrees","Master's-granting Institutions",315
1968,"Architecture and Environmental Design","Bachelor's Degrees","Bachelor's-granting Institutions",10
1968,"Architecture and Environmental Design","Bachelor's Degrees","Other/Unknown Degree Level",1
1968,"Education","Doctorate Degrees","Doctorate-granting Institutions",4152
1968,"Education","Doctorate Degrees","Master's-granting Institutions",4
1968,"Education","Bachelor's Degrees","Doctorate-granting Institutions",61008
1968,"Education","Bachelor's Degrees","First Professional Institutions",4146
1968,"Education","Bachelor's Degrees","Master's-granting Institutions",57844
1968,"Education","Bachelor's Degrees","Bachelor's-granting Institutions",12816
1968,"Education","Bachelor's Degrees","Two-year Institutions",106
1968,"Education","Bachelor's Degrees","Other/Unknown Degree Level",1493
1968,"Business and Management","Doctorate Degrees","Doctorate-granting Institutions",461
1968,"Business and Management","Bachelor's Degrees","Doctorate-granting Institutions",50551
1968,"Business and Management","Bachelor's Degrees","First Professional Institutions",2975
1968,"Business and Management","Bachelor's Degrees","Master's-granting Institutions",23274
1968,"Business and Management","Bachelor's Degrees","Bachelor's-granting Institutions",4753
1968,"Business and Management","Bachelor's Degrees","Two-year Institutions",134
1968,"Business and Management","Bachelor's Degrees","Other/Unknown Degree Level",714
